id,username,is_active,join_date,playmode,playstyle,beatmap_playcounts_count,favourite_beatmapset_count,scores_recent_count,statistics_pp,statistics_accuracy,statistics_play_count,statistics_play_time,statistics_global_rank,statistics_country_rank,statistics_hit_accuracy,statistics_maximum_combo,statistics_level_current
479,fdtoonsman,False,2007-09-28T17:06:31+00:00,osu,,23,1,0,0.0,,1518,196940,,,93.1663,368,34
481,noumd,False,2007-09-28T17:25:00+00:00,osu,,0,0,0,0.0,,65,4050,,,70.6321,51,6
482,Shadow-Dash,False,2007-09-28T17:55:53+00:00,osu,"['mouse', 'tablet']",11,0,0,0.0,,447,53110,,,87.0632,441,19
484,Chowshu_old,False,2007-09-28T18:33:29+00:00,osu,,4,0,0,0.0,,70,9100,,,80.3459,0,0
486,redmadnug,False,2007-09-28T19:47:40+00:00,osu,,23,0,0,0.0,,949,40070,,,85.1042,441,25
488,kaeeepy,True,2007-09-28T20:28:32+00:00,osu,,230,0,0,446.846,,1515,144218,1217669.0,197123.0,91.4168,1787,50
492,Gyrocoptor,False,2007-09-28T22:29:14+00:00,osu,,0,0,0,0.0,,35,2050,,,83.5527,127,7
495,serynth,False,2007-09-29T00:00:33+00:00,osu,,3,0,0,0.0,,143,18590,,,93.6516,0,0
501,qudfo9,False,2007-09-29T06:50:01+00:00,taiko,"['mouse', 'keyboard']",488,0,0,0.0,,10714,533520,,,98.1519,1365,75
508,TB1991,False,2007-09-29T13:20:04+00:00,osu,,0,0,0,0.0,,18,2340,,,92.5916,0,0
515,kalz_old,False,2007-09-29T17:04:43+00:00,taiko,,37,6,0,0.0,,88,7140,,,88.4598,320,11
521,Percybut,False,2007-09-29T20:17:23+00:00,osu,,2,0,0,0.0,,341,44330,,,71.1509,0,0
524,Neo Bogard,False,2007-09-29T23:46:30+00:00,osu,,1,0,0,0.0,,65,2250,,,64.3317,97,4
528,chuckstudios,False,2007-09-30T03:37:42+00:00,osu,,11,0,0,0.0,,373,42690,,,86.7408,275,19
537,zeomaru,False,2007-09-30T11:42:41+00:00,osu,,1,0,0,0.0,,2,260,,,0.0,0,0
539,AndreAkio_old,False,2007-09-30T12:00:09+00:00,osu,,0,0,0,0.0,,118,14840,,,78.8788,321,10
545,renley_old,False,2007-09-30T12:56:17+00:00,osu,,3,0,0,0.0,,69,8970,,,78.5407,0,0
550,animas_old,False,2007-09-30T14:26:55+00:00,osu,['mouse'],10,0,0,0.0,,459,55770,,,93.7476,490,24
555,Extor,False,2007-09-30T15:02:08+00:00,osu,,24,0,0,0.0,,673,87130,,,94.484,346,34
558,An Hero_old,False,2007-09-30T15:11:04+00:00,osu,,6,0,0,0.0,,225,28950,,,73.155,0,13
562,TransfuSe,False,2007-09-30T15:51:21+00:00,osu,,11,0,0,0.0,,735,29650,,,88.3556,295,27
565,masta518,False,2007-09-30T16:33:56+00:00,osu,,0,0,0,0.0,,17,2210,,,82.3976,0,0
567,SuzuTitor,False,2007-09-30T17:43:03+00:00,osu,,2,0,0,0.0,,247,22510,,,87.2752,322,17
569,Mecer,False,2007-09-30T18:11:33+00:00,osu,"['mouse', 'tablet']",10,0,0,0.0,,272,33360,,,93.8388,244,14
578,generalconvo,False,2007-09-30T23:01:34+00:00,osu,,1,0,0,0.0,,63,8190,,,86.4467,0,0
580,gumpest,False,2007-09-30T23:08:20+00:00,osu,,1,0,0,0.0,,123,13690,,,84.9212,414,14
586,TiZ,False,2007-10-01T01:17:08+00:00,osu,,90,0,0,0.0,,3293,428090,,,96.4349,0,0
591,lalala_old,False,2007-10-01T11:45:43+00:00,osu,,7,0,0,0.0,,199,25870,,,76.5409,0,0
593,yuching,False,2007-10-01T12:29:41+00:00,mania,"['keyboard', 'tablet']",585,7,0,0.0,,385,29736,,,93.0921,1135,29
598,Etchan_old,False,2007-10-01T16:49:20+00:00,osu,,9,0,0,0.0,,345,44850,,,90.973,0,0
599,V-DecK,False,2007-10-01T17:41:11+00:00,osu,['mouse'],4,0,0,0.0,,160,20000,,,92.7784,140,19
602,Hitoshirenu Shourai,False,2007-10-01T18:15:06+00:00,osu,['mouse'],1098,8,0,0.0,,3119,368459,,,98.2423,949,65
605,Colink,False,2007-10-01T19:58:18+00:00,osu,"['mouse', 'keyboard']",234,1,0,0.0,,6210,431534,,,94.912,1179,87
606,Dilt_old,False,2007-10-01T20:24:37+00:00,osu,,4,0,0,0.0,,82,10660,,,86.7716,0,0
609,Darushi_old,False,2007-10-02T01:56:25+00:00,osu,,0,0,0,0.0,,40,5200,,,87.6483,0,10
612,RemmyX25,False,2007-10-02T06:37:45+00:00,osu,"['mouse', 'keyboard']",348,15,0,0.0,,8714,799874,,,96.9053,875,89
615,mark,False,2007-10-02T17:51:09+00:00,mania,,3,0,0,0.0,,0,0,,,0.0,0,1
617,vitnu_old,False,2007-10-02T18:51:12+00:00,osu,,3,0,0,0.0,,386,50180,,,75.3909,0,0
624,CharlesZ_old,False,2007-10-03T00:22:43+00:00,osu,,0,0,0,0.0,,20,2600,,,92.2626,0,0
627,Asho_old,False,2007-10-03T00:47:40+00:00,osu,,3,0,0,0.0,,149,19170,,,91.4742,299,16
632,rcxAsh,False,2007-10-03T03:47:38+00:00,osu,['touch'],0,0,0,0.0,,56,4280,,,83.1534,295,11
633,ujumg,False,2007-10-03T04:09:03+00:00,osu,,1,0,0,0.0,,111,12630,,,89.3849,259,13
643,felix123_old,False,2007-10-03T08:00:07+00:00,osu,,0,0,0,0.0,,27,3510,,,73.6312,0,0
647,zero62,False,2007-10-03T11:40:31+00:00,osu,,0,0,0,0.0,,1,30,,,0.0,0,1
652,[Kaichu]Senki!,False,2007-10-03T12:26:47+00:00,osu,,1,0,0,0.0,,6,780,,,72.2631,0,0
655,cortana101,False,2007-10-03T12:51:33+00:00,osu,,19,0,0,0.0,,67,9204,,,87.7689,296,16
656,Acerlyte,False,2007-10-03T13:49:47+00:00,osu,,3,0,0,0.0,,87,10110,,,88.6027,132,10
660,USBline,False,2007-10-03T19:41:48+00:00,osu,,8,0,0,0.0,,337,43810,,,80.5741,0,0
663,GSR_old,False,2007-10-03T21:32:29+00:00,osu,,39,0,0,0.0,,1420,183700,,,95.4924,383,42
668,mewomega,False,2007-10-04T01:32:04+00:00,osu,['mouse'],5,0,0,0.0,,1126,145880,,,95.3786,408,40
670,ChaseBenedict,False,2007-10-04T02:41:55+00:00,osu,,0,0,0,0.0,,21,2730,,,86.2825,0,0
676,lumber_of_the_beast,False,2007-10-04T08:39:17+00:00,osu,,1,0,0,0.0,,96,12480,,,90.0945,0,0
677,FFFanatic,False,2007-10-04T09:37:28+00:00,osu,"['mouse', 'keyboard']",92,13,0,0.0,,1358,75748,,,99.1394,732,37
682,Detective Tuesday,False,2007-10-04T18:41:43+00:00,osu,['mouse'],109,1,0,0.0,,4132,486968,,,98.9781,650,73
687,danielcatu,False,2007-10-05T02:39:16+00:00,osu,,13,0,0,0.0,,303,34290,,,79.197,233,15
690,whatsub,False,2007-10-05T03:56:04+00:00,osu,,0,0,0,0.0,,40,1900,,,74.7142,89,6
701,SPROUT_old,False,2007-10-05T05:03:10+00:00,osu,,35,1,0,0.0,,164,14120,,,90.3085,261,16
